City ID,City,Country,Latitude,Longitude,Max. Temp (F),Humidity,Cloudiness,Wind Speed,Date
1,Pandan,PH,14.0453,124.1694,84.88,68,55,3.33,1643512262
2,Tuktoyaktuk,CA,69.4541,-133.0374,-6.07,96,100,16.24,1643512262
3,Vila Franca do Campo,PT,37.7167,-25.4333,56.19,69,78,10.47,1643512238
4,Remontnoye,RU,46.5614,43.6501,32.49,93,94,15.41,1643512263
5,Bubaque,GW,11.2833,-15.8333,78.21,59,40,12.26,1643512263
6,Sola,VU,-13.8833,167.55,81.99,79,100,17.34,1643512263
7,Carnarvon,AU,-24.8667,113.6333,84.27,70,63,13.8,1643512264
8,Bathsheba,BB,13.2167,-59.5167,76.26,73,14,15.86,1643512264
9,Atuona,PF,-9.8,-139.0333,77.99,77,27,14.09,1643512265
10,Faanui,PF,-16.4833,-151.75,80.76,71,99,6.62,1643512265
11,Charters Towers,AU,-20.1,146.2667,88.05,40,6,7.52,1643512266
12,Hobart,AU,-42.8794,147.3294,82.02,51,20,1.01,1643512266
13,Tasiilaq,GL,65.6145,-37.6368,12.36,66,100,12.41,1643512266
14,Warrington,GB,53.3925,-2.5802,44.28,79,58,1.01,1643512267
15,Ushuaia,AR,-54.8,-68.3,42.46,87,100,4.61,1643512267
16,Kruisfontein,ZA,-34.0033,24.7314,56.88,90,1,4.21,1643512267
17,Alofi,NU,-19.0595,-169.9187,81.7,73,100,8.88,1643512268
18,Tinskoy,RU,56.1525,96.9161,-0.81,95,89,2.15,1643512268
19,Busselton,AU,-33.65,115.3333,84.09,49,5,12.73,1643512269
20,Yellowknife,CA,62.456,-114.3525,-14.58,86,81,5.01,1643512269
21,Severo-Kuril'sk,RU,50.6789,156.125,24.94,86,100,14.0,1643512138
22,Rikitea,PF,-23.1203,-134.9692,76.87,69,100,7.52,1643512199
23,Lata,PT,40.1629,-8.3327,46.72,51,0,4.99,1643512191
24,Lüderitz,NA,-26.6481,15.1594,66.7,81,24,3.22,1643512270
25,Albany,US,42.6001,-73.9662,6.75,57,100,11.99,1643512271
26,Nikolskoye,RU,59.7035,30.7861,27.72,93,100,15.68,1643512271
27,Pritzwalk,DE,53.1494,12.1741,43.59,68,99,34.67,1643512271
28,Saint George,US,37.1041,-113.5841,52.36,24,0,10.0,1643512272
29,Port Alfred,ZA,-33.5906,26.891,68.11,87,13,8.03,1643512272
30,Marabu,MY,4.4148,114.0089,82.69,74,100,0.47,1643512273
31,Leningradskiy,RU,69.3833,178.4167,-10.55,91,68,4.18,1643512273
32,Jiwani,PK,25.05,61.7417,71.58,78,0,10.98,1643512274
33,Hasaki,JP,35.7333,140.8333,48.29,50,74,14.7,1643512274
34,Dikson,RU,73.5069,80.5464,7.77,94,100,17.69,1643512274
35,Segezha,RU,63.7415,34.3222,16.43,89,100,11.63,1643512275
36,Kapaa,US,22.0752,-159.319,79.12,69,0,1.01,1643512275
37,Torbay,CA,47.6666,-52.7314,44.28,96,100,29.93,1643512216
38,North Bend,US,43.4065,-124.2243,48.94,100,20,0.0,1643512276
39,Lanxi,CN,29.2195,119.477,41.02,80,78,2.08,1643512276
40,Esperance,AU,-33.8667,121.9,82.62,45,8,9.31,1643512199
41,Bluff,NZ,-46.6,168.3333,59.99,86,100,4.85,1643512277
42,Abong Mbang,CM,3.9833,13.1833,60.3,40,86,2.75,1643512277
43,Butaritari,KI,3.0707,172.7902,82.49,72,52,17.83,1643512278
44,Jagüey Grande,CU,22.5269,-81.1286,63.25,58,100,9.98,1643512278
45,Hermanus,ZA,-34.4187,19.2345,65.8,88,1,10.98,1643512279
46,Yar-Sale,RU,66.8333,70.8333,-8.43,98,93,8.72,1643512279
47,São Filipe,CV,14.8961,-24.4956,70.63,73,77,12.48,1643512279
48,Msanga,TZ,-6.05,36.0333,64.4,97,100,1.97,1643512280
49,Chui,UY,-33.6971,-53.4616,64.56,80,0,7.02,1643512172
50,Buluang,PH,13.3068,123.3425,85.5,66,65,5.48,1643512280
51,Saldanha,ZA,-33.0117,17.9442,64.06,84,0,12.06,1643512341
52,Klyuchi,RU,52.2667,79.1667,8.33,88,45,11.16,1643512341
53,Broken Hill,AU,-31.95,141.4333,87.4,46,39,7.25,1643512342
54,Avarua,CK,-21.2078,-159.775,82.45,74,20,6.91,1643512342
55,Mataura,NZ,-46.1927,168.8643,58.23,95,100,2.55,1643512193
56,Aljezur,PT,37.3191,-8.8033,53.42,54,100,5.1,1643512343
57,Qaanaaq,GL,77.484,-69.3632,-5.37,95,100,4.5,1643512343
58,Sittwe,MM,20.15,92.9,63.45,54,0,7.09,1643512344
59,Taoudenni,ML,22.6783,-3.9836,69.98,14,99,5.7,1643512344
60,Barrow,US,71.2906,-156.7887,-9.38,70,75,8.05,1643512109
61,Saint Paul Harbor,US,57.79,-152.4072,33.31,55,0,19.57,1643512345
62,Jamestown,US,42.097,-79.2353,6.71,85,0,3.44,1643512345
63,Vaini,TO,-21.2,-175.2,81.99,75,99,11.01,1643512346
64,Caraguatatuba,BR,-23.6338,-45.4899,73.18,98,100,2.13,1643512346
65,Cape Town,ZA,-33.9258,18.4232,67.1,73,0,4.0,1643512314
66,Estelle,US,29.8458,-90.1067,46.0,67,0,5.75,1643512346
67,Mar del Plata,AR,-38.0023,-57.5575,70.88,80,34,20.0,1643512347
68,Inhambane,MZ,-23.865,35.3833,77.18,66,100,6.44,1643512347
69,Manggar,ID,-2.8833,108.2667,83.12,66,100,6.11,1643512348
70,Iqaluit,CA,63.7506,-68.5145,-13.27,62,40,8.99,1643512348
71,San Jose,US,37.3394,-121.895,56.95,61,0,0.0,1643512168
72,Arraial do Cabo,BR,-22.9661,-42.0278,74.17,95,100,11.52,1643512349
73,Cabedelo,BR,-6.9811,-34.8339,77.67,80,100,9.73,1643512349
74,New Norfolk,AU,-42.7826,147.0587,81.66,32,0,1.99,1643512350
75,Aswān,EG,24.0934,32.907,47.62,54,0,9.33,1643512279
76,Kennett,US,36.2362,-90.0556,34.97,70,0,5.75,1643512350
77,Kiryat Gat,IL,31.61,34.7642,49.41,100,0,2.86,1643512351
78,Bredasdorp,ZA,-34.5322,20.0403,65.28,89,4,4.88,1643512173
79,East London,ZA,-33.0153,27.9116,68.47,85,11,5.57,1643512197
